trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
4657534246,22:45:00,22:45:00,XPB,1,0,0,0
4657534246,29:00:00,29:05:00,XBE,2,0,0,476
4657534246,30:50:00,30:55:00,XMW,3,0,0,633
4657534246,32:00:00,32:15:00,XTS,4,0,0,682
4657534246,33:40:00,33:45:00,STG,5,0,0,779
4657534246,34:15:00,34:20:00,XLZ,6,0,0,813
4657534246,35:10:00,35:10:00,XLU,7,0,0,871
9434655858,22:45:00,22:45:00,XPB,1,0,0,0
9434655858,29:00:00,29:05:00,XBE,2,0,0,476
9434655858,30:50:00,30:55:00,XMW,3,0,0,633
9434655858,32:00:00,32:15:00,XTS,4,0,0,682
9434655858,33:40:00,33:45:00,STG,5,0,0,779
9434655858,34:15:00,34:20:00,XLZ,6,0,0,813
9434655858,35:10:00,35:10:00,XLU,7,0,0,871
1304572602,22:45:00,22:45:00,XPB,1,0,0,0
1304572602,29:00:00,29:05:00,XBE,2,0,0,476
1304572602,30:50:00,30:55:00,XMW,3,0,0,633
1304572602,32:00:00,32:15:00,XTS,4,0,0,682
1304572602,33:40:00,33:45:00,STG,5,0,0,779
1304572602,34:15:00,34:20:00,XLZ,6,0,0,813
1304572602,35:10:00,35:10:00,XLU,7,0,0,871
8862216442,22:45:00,22:45:00,XPB,1,0,0,0
8862216442,29:00:00,29:05:00,XBE,2,0,0,476
8862216442,30:50:00,30:55:00,XMW,3,0,0,633
8862216442,32:00:00,32:15:00,XTS,4,0,0,682
8862216442,33:40:00,33:45:00,STG,5,0,0,779
8862216442,34:15:00,34:20:00,XLZ,6,0,0,813
8862216442,35:10:00,35:10:00,XLU,7,0,0,871
2025358015,22:45:00,22:45:00,XPB,1,0,0,0
2025358015,29:00:00,29:05:00,XBE,2,0,0,476
2025358015,30:50:00,30:55:00,XMW,3,0,0,633
2025358015,32:00:00,32:15:00,XTS,4,0,0,682
2025358015,33:40:00,33:45:00,STG,5,0,0,779
2025358015,34:15:00,34:20:00,XLZ,6,0,0,813
2025358015,35:10:00,35:10:00,XLU,7,0,0,871
2014779622,45:45:00,45:45:00,XPB,1,0,0,0
2014779622,52:00:00,52:05:00,XBE,2,0,0,476
2014779622,53:50:00,53:55:00,XMW,3,0,0,633
2014779622,55:00:00,55:15:00,XTS,4,0,0,682
2014779622,56:40:00,56:45:00,STG,5,0,0,779
2014779622,57:15:00,57:20:00,XLZ,6,0,0,813
2014779622,58:10:00,58:10:00,XLU,7,0,0,871
5127655593,17:00:00,17:00:00,XLU,1,0,0,0
5127655593,18:00:00,18:05:00,XLZ,2,0,0,58
5127655593,18:35:00,18:40:00,STG,3,0,0,92
5127655593,20:20:00,20:30:00,XTS,4,0,0,189
5127655593,21:35:00,21:45:00,XMW,5,0,0,238
5127655593,23:30:00,23:40:00,XBE,6,0,0,395
5127655593,30:00:00,30:00:00,XPB,7,0,0,871
4911549755,17:00:00,17:00:00,XLU,1,0,0,0
